fips,n_cont,own_train_size,test_size,county_y_mean,county_y_std,model,model_label,mape,r2,mae,rmse,time
48295,41,80,21,11.424566097415035,0.6334417778948541,zs_regressor,(A) ZS TabPFNRegressor,25.19991311681691,0.662352942053499,30573.32606712731,40961.08933452421,1.1219182014465332
48295,41,80,21,11.424566097415035,0.6334417778948541,zs_ft_pipeline,(B) ZS FT-pipeline,80.4007961407556,-0.05051718399770633,59926.35245849633,72250.62252119576,0.06874608993530273
48295,41,80,21,11.424566097415035,0.6334417778948541,ft_pipeline,(C) FT FT-pipeline,84.06467248487127,0.10872998887026075,57365.85543468681,66549.47901311169,0.06964802742004395
1029,42,216,55,11.458866848257887,1.025314893262091,zs_regressor,(A) ZS TabPFNRegressor,42.91226311703299,0.20081736159966057,70448.54303977273,100925.31794786315,1.8446507453918457
1029,42,216,55,11.458866848257887,1.025314893262091,zs_ft_pipeline,(B) ZS FT-pipeline,45.48261712559599,0.29863499099093715,68539.90007102273,94547.30487489847,0.1744379997253418
1029,42,216,55,11.458866848257887,1.025314893262091,ft_pipeline,(C) FT FT-pipeline,48.71771002374622,-0.061010164804009115,85749.1361328125,116288.52935518889,0.17428827285766602
48399,42,295,74,11.42102176999174,0.6678420475853217,zs_regressor,(A) ZS TabPFNRegressor,36.987577492642956,0.49821664736200777,39371.821395291605,53041.62823769287,2.591435194015503
48399,42,295,74,11.42102176999174,0.6678420475853217,zs_ft_pipeline,(B) ZS FT-pipeline,41.80068549520068,0.49450753098785694,38687.876619007184,53237.30565879846,0.24215340614318848
48399,42,295,74,11.42102176999174,0.6678420475853217,ft_pipeline,(C) FT FT-pipeline,55.62811439714849,-0.06437952711681527,55934.46840964972,77251.51034808296,0.24315381050109863
1079,42,356,90,11.253384883522996,0.93459155568638,zs_regressor,(A) ZS TabPFNRegressor,48.20980091414006,0.6987160214563681,34964.569891584375,54714.26120413207,3.1402502059936523
1079,42,356,90,11.253384883522996,0.93459155568638,zs_ft_pipeline,(B) ZS FT-pipeline,135.3857730044965,0.11950950163041163,63797.65945321631,93535.15223431773,0.3084084987640381
