model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,fips,bin_name,repetition,fold,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,68,18,39,0.27191638946533203,0.13425087928771973,-0.3400522864215003,54395.24902343748,82076.98139421962,6736630874.787074,1011,small,2,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,68,18,39,5.395936965942383,0.002596616744995117,-0.11407764063090431,49995.40288628469,74837.32105380813,5600624622.510755,1011,small,2,0,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.01977745556268678,300.0,0.9080780325281034,0.7669499715061008,10.0,0.2243929281531263,0.10082636558700483,0.11182165027991572,5.345678329467773
tabpfn,69,17,39,0.2706420421600342,0.13399481773376465,0.7955361588632928,56098.343290441204,99701.50161484425,9940389424.254791,1011,small,2,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,5.8362085819244385,0.0025734901428222656,0.47868778939421364,76073.75287224268,159199.75328292925,25344561445.345543,1011,small,2,1,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,2.0,0.023238160952885455,400.0,0.9806747485880212,0.7715925175716873,10.0,0.08993375570510219,9.978275662372996,1.482104196853583,5.785557508468628
tabpfn,69,17,39,0.2772390842437744,0.1345686912536621,0.5347683863691963,101590.62965303315,170301.428422395,29002576522.70813,1011,small,2,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.469693422317505,0.0025491714477539062,0.3714397028723282,107558.7655101103,197950.7511917944,39184499897.3957,1011,small,2,2,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.06432956810990609,250.0,0.8734380044059206,0.9495531189806011,8.0,0.3755011671316159,0.12942718949357504,1.3893681072450936,6.433304309844971
tabpfn,69,17,39,0.27419161796569824,0.13520503044128418,0.12210676345556726,82834.00011488976,190210.72037997723,36180118147.46988,1011,small,2,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,5.237136125564575,0.0025682449340820312,0.16919719974185032,85904.43347886034,185038.93263905743,34239406592.20163,1011,small,2,3,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,3.0,0.06824933985356171,50.0,0.9730518860653277,0.7832402252446309,6.0,0.01620786894433612,0.10488101410479332,0.5503517287511592,5.218240737915039
tabpfn,69,17,39,0.26913905143737793,0.13617324829101562,0.4553369123025849,81156.6593520221,171108.02667012496,29277956790.9442,1011,small,2,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,,,,,,,,,,
xgboost,69,17,39,6.808505058288574,0.002644777297973633,0.28026864810930296,92134.53239889706,196694.2306113758,38688620355.80109,1011,small,2,4,success,within_county_full_preprocessing,Within-county repeated k-fold CV with full preprocessing,4.0,0.021795169936575442,300.0,0.8692622620121798,0.7008703385204363,9.0,0.23785841525039647,1.0958719877558025,0.06126798599437059,6.75132942199707
