seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status,tune_time
200,5000,full,5000,39011,0,0,129097.15030015573,44631950163.98607,0.583621609349861,1.089703560364545,0.9203939732142853,0.7044096825688384,15.001801252365112,0.0536341667175293,success,14.405885696411133
200,6000,full,6000,39011,0,0,128822.02934028223,44642876386.69898,0.5835196769222531,1.0938949689210946,0.9243847713864312,0.7010249846181713,14.760856866836548,0.054189205169677734,success,14.171815633773804
200,7000,full,7000,39011,0,0,126859.1473530703,43157838762.28316,0.5973738234212809,1.1150503056935774,0.9455440217391295,0.7110453231248707,15.613455057144165,0.05299091339111328,success,15.085568904876709
200,8000,full,8000,39011,0,0,127678.34068576011,43932836844.74363,0.5901437460182948,1.086319329600908,0.9242670960559791,0.6842274680327208,15.876627922058105,0.05382800102233887,success,15.250803709030151
200,9000,full,9000,39011,0,0,128399.03618490617,44268835537.95214,0.5870091620571485,1.0698728873115293,0.9091124882518798,0.6748334791268543,16.842820644378662,0.05157184600830078,success,16.193617343902588
200,10000,full,10000,39011,0,0,126841.21141873446,43474107405.47225,0.5944233041591753,1.0804825114403378,0.9232662364130426,0.6749855578934556,16.683922052383423,0.05477428436279297,success,16.06890559196472
300,25,full,25,39011,0,0,205112.1869154293,116675827790.86308,-0.08848690735752407,0.9509565261202249,0.7406939302884611,0.8218962465112992,2.0411715507507324,0.0071353912353515625,success,2.013157606124878
300,50,full,50,39011,0,0,177495.2835782696,80907390389.5874,0.24520239697475388,1.2131051978426441,0.9682843750000006,0.9996021023629793,2.115593433380127,0.012235879898071289,success,2.0276026725769043
300,75,full,75,39011,0,0,169905.49398527018,84946004116.82472,0.20752554265792134,1.0549077262340352,0.8789730698529412,0.7840402762027201,2.262061357498169,0.01432180404663086,success,2.180480480194092
300,100,full,100,39011,0,0,169391.83964278505,84370721025.16153,0.21289244791289808,1.075055867439813,0.8928049180327868,0.7825356775657599,5.9399449825286865,0.017220258712768555,success,5.872381687164307
300,200,full,200,39011,0,0,159398.9527481031,71163669799.55563,0.3361030787355912,1.0619234176996448,0.8858081249999998,0.7498697078106508,7.0431740283966064,0.02335834503173828,success,6.949623346328735
300,300,full,300,39011,0,0,151246.97741402264,62999653584.700806,0.4122664531858038,1.0663999156213257,0.8947647500000007,0.7290934941581202,7.526278495788574,0.027941465377807617,success,7.390097141265869
300,400,full,400,39011,0,0,152398.86902712536,62810405080.92471,0.41403198185183143,1.0205976532714263,0.8549136122881354,0.703179069066938,9.148847341537476,0.028964996337890625,success,9.000768184661865
300,500,full,500,39011,0,0,148421.15554446983,60776243497.98816,0.43300899099244694,1.0317637309331897,0.8710657429245287,0.6955504040662088,9.044055223464966,0.02746105194091797,success,8.915646314620972
300,600,full,600,39011,0,0,146791.86252134814,59760193551.71318,0.44248787864794326,1.0456825622320112,0.8833765161725063,0.7026117067956573,9.532171726226807,0.030182600021362305,success,9.161434173583984
300,700,full,700,39011,0,0,140940.8708166847,52691571167.62171,0.5084321540288669,1.0912112033615016,0.9108371093749994,0.756359952018651,9.816643476486206,0.04486703872680664,success,9.558954000473022
