seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status
1100,700,full,700,39011,0,0,137346.86590641103,50118374063.85234,0.5324379092099978,1.076151349380481,0.9060936789772733,0.7119089237295119,0.45038890838623047,22.651018857955933,success
1100,800,full,800,39011,0,0,137635.00916007665,51380256256.11391,0.5206656143747186,1.0779243466623984,0.9121529713114754,0.7026867829928789,0.45798754692077637,24.410850524902344,success
1100,900,full,900,39011,0,0,136422.35341614386,50347788091.285675,0.5302976701394602,1.089483865634849,0.9197032031249996,0.71299917170968,0.48523974418640137,26.530330896377563,success
1100,1000,full,1000,39011,0,0,133492.48905136532,47993489911.44368,0.5522612832827674,1.0891217205349908,0.9205392857142863,0.7083780446104518,0.5010693073272705,27.048795461654663,success
1100,2000,full,2000,39011,0,0,126883.59458369915,42676746929.171295,0.6018620038052892,1.1178662879106331,0.9418998893805317,0.7264591132295972,0.6748433113098145,46.78135347366333,success
1100,3000,full,3000,39011,0,0,127287.84902695709,42772969242.5909,0.6009643309082036,1.121427767776619,0.9390418585526309,0.7377130903053323,0.8675837516784668,71.16229367256165,success
1100,4000,full,4000,39011,0,0,127548.81801447028,43294111403.095795,0.5961025148035142,1.0766576222155482,0.9100435810810807,0.695827832652764,1.2166416645050049,58.26636505126953,success
1100,5000,full,5000,39011,0,0,126609.0272961873,42753258172.18116,0.6011482185435196,1.0833841252778518,0.9147856570512815,0.7005111054846717,1.5059094429016113,76.57291150093079,success
1100,6000,full,6000,39011,0,0,125917.71449478994,42013409172.312004,0.608050384699329,1.089082280270699,0.9198334821428578,0.704557328202502,1.6860694885253906,95.41084885597229,success
1100,7000,full,7000,39011,0,0,126218.60815699417,42262695696.58723,0.6057247520212338,1.0753254126249547,0.9102232692307686,0.6938247615760851,1.9401209354400635,120.62859606742859,success
1100,8000,full,8000,39011,0,0,126346.79850514919,42438418703.65825,0.6040854048133344,1.0656992772994607,0.9038489583333337,0.676700112616122,2.287386894226074,145.04053688049316,success
1100,9000,full,9000,39011,0,0,125892.51881660782,41973795179.653305,0.6084199497855476,1.0666039096720876,0.9051620535714291,0.6755804411063108,2.4303314685821533,173.120831489563,success
1100,10000,full,10000,39011,0,0,124954.54393352196,41364310498.99781,0.6141059269728502,1.0728120198643383,0.9108658244680853,0.6779047553215503,2.6540069580078125,202.63634872436523,success
1200,25,full,25,39011,0,0,176101.47120043065,71444459518.18684,0.33348354786756507,0.818126786589368,0.6722973684210523,0.5719711109585881,0.4093477725982666,11.893645286560059,success
1200,50,full,50,39011,0,0,167340.7361315158,69792728244.95303,0.34889280528985334,0.8688478542332744,0.7354925196850389,0.5792149138825996,0.4555983543395996,12.203028917312622,success
1200,75,full,75,39011,0,0,159161.4789194073,65243131257.24597,0.39133670175612867,0.9329981554412587,0.7833618125000006,0.6345610759531759,0.5040979385375977,12.612416744232178,success
1200,100,full,100,39011,0,0,153288.8413810768,62096643044.48881,0.42069077867667093,0.9723422410184239,0.819400600961538,0.664940325947038,0.5495479106903076,12.597865343093872,success
1200,200,full,200,39011,0,0,152574.12862517938,62383067479.876434,0.4180186806614288,1.011789007399426,0.8405885080645161,0.7158090750608234,0.3442826271057129,17.21724247932434,success
1200,300,full,300,39011,0,0,151341.06692363208,59596701816.52807,0.44401311842193614,0.9781982100412536,0.8140421093749997,0.6876393007472396,0.3879246711730957,17.577674865722656,success
1200,400,full,400,39011,0,0,143215.1097563027,52947295985.16881,0.5060464575135154,1.0154584750520141,0.8475790540540538,0.7002800696681449,0.39271020889282227,18.52924871444702,success
1200,500,full,500,39011,0,0,136525.36649018066,47956164731.50547,0.5526094956798573,1.0760041230828365,0.899775145348837,0.7353317631251461,0.41004037857055664,19.608785390853882,success
1200,600,full,600,39011,0,0,137975.06236722492,49659671576.362946,0.5367172159135208,1.052092888075651,0.8803753623188404,0.7030453190696766,0.4287118911743164,21.12118411064148,success
1200,700,full,700,39011,0,0,137570.61990528312,48643166613.00703,0.546200348493991,1.0414676504530682,0.8687603174603176,0.7096415232077847,0.4500396251678467,23.104166984558105,success
1200,800,full,800,39011,0,0,135916.49908719657,47887566848.79149,0.5532494559751504,1.056099940326218,0.8825875710227279,0.70912573741705,0.4668090343475342,24.68688130378723,success
1200,900,full,900,39011,0,0,135136.38431468047,47629075343.685745,0.5556609633481693,1.0595789093329406,0.8859460106382981,0.7067496488837066,0.48337435722351074,26.445600748062134,success
1200,1000,full,1000,39011,0,0,134252.35850805702,47099843791.51346,0.5605982466433228,1.0677768421050153,0.8941423393416925,0.7096077390534613,0.761326789855957,27.802546739578247,success
1200,2000,full,2000,39011,0,0,131050.52200100613,45776655355.6365,0.5729424769409692,1.0625706263179768,0.8921773999999997,0.6978733317677527,0.7118289470672607,29.17751169204712,success
1200,3000,full,3000,39011,0,0,126431.52005984691,42384801052.04907,0.6045856122074869,1.106821621699046,0.9295758627946128,0.722981941057672,0.9793851375579834,42.18664073944092,success
1200,4000,full,4000,39011,0,0,125546.53923773102,42085497305.307144,0.6073778633174219,1.0953192270616825,0.9237179263565894,0.7085524876547838,1.4178855419158936,58.80561304092407,success
1200,5000,full,5000,39011,0,0,125448.63824906758,41914794765.08349,0.6089703738108481,1.0842885713270167,0.9154611322714687,0.6989261695433263,1.4558262825012207,76.60809421539307,success
1200,6000,full,6000,39011,0,0,124197.83162421336,41403384440.70015,0.6137414001058277,1.1089524347535173,0.9357212890624994,0.7132262776822016,1.9469184875488281,95.3622817993164,success
1200,7000,full,7000,39011,0,0,124139.84523796172,41275852770.58756,0.6149311628511995,1.0968436566510784,0.928252260638298,0.6993953703149409,1.953923225402832,119.8287923336029,success
1200,8000,full,8000,39011,0,0,123176.67123575723,40346385951.816925,0.6236023030711648,1.101658087842042,0.9340452500000006,0.702506749957886,2.2298083305358887,145.28159546852112,success
1200,9000,full,9000,39011,0,0,123579.36303162089,40596090386.507576,0.6212727716419378,1.0945064795319126,0.929465410305344,0.6954922159726497,2.3899199962615967,172.93891191482544,success
