model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,target_fips,iteration,n_counties,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,359,50,39,0.3077704906463623,0.4318881034851074,0.28562712857908745,71777.23179687503,136235.23153152448,18560038310.448082,1011,5,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,17.79935622215271,0.0028829574584960938,0.3117806476218792,68871.56484375003,133718.16174497444,17880546780.455143,1011,5,9,success,cross_county_small,Cross-county generalization test with small counties,3.0,0.03244578150181671,150.0,0.6143783302780763,0.9557166196822359,1.0,0.7307941438802519,8.907676495690326,0.009504779219230321,17.752541303634644
tabpfn,359,50,39,0.30596280097961426,0.43602538108825684,0.5617721260500714,68054.8109375,119518.62444905358,14284701590.193907,1011,6,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,18.970855951309204,0.0028586387634277344,0.631492976613407,61595.658867187536,109599.47453949868,12012044819.334219,1011,6,9,success,cross_county_small,Cross-county generalization test with small counties,4.0,0.08903543118326139,100.0,0.7092043420804736,0.9054989579659412,3.0,0.0018078501708576273,1.315926964812685,2.352188889385105e-05,18.9325213432312
tabpfn,359,50,39,0.31523895263671875,0.42310357093811035,0.2907684920816087,89319.15812500002,170221.72660009435,28975436206.717266,1011,7,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,18.397114038467407,0.002969980239868164,0.4700833630140434,81801.50378906252,147137.96937332026,21649582031.304127,1011,7,9,success,cross_county_small,Cross-county generalization test with small counties,3.0,0.05591625204156578,400.0,0.8742922281974993,0.8297493690000942,3.0,0.006821218005208714,6.99542988387267,0.00018390400581005977,18.305432081222534
tabpfn,359,50,39,0.3068504333496094,0.4316701889038086,0.3410827907690417,81763.76359375002,172485.74010002974,29751330537.85501,1011,8,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,14.592395305633545,0.002899169921875,0.3633830191368258,81508.86656250003,169541.83550690874,28744433987.0517,1011,8,9,success,cross_county_small,Cross-county generalization test with small counties,3.0,0.028783671108403634,350.0,0.8152838490582838,0.6960724790744685,1.0,0.0001619959665877462,0.49646421459597745,4.8319317650350606e-05,14.443053245544434
tabpfn,359,50,39,0.3078315258026123,0.4346776008605957,0.3946899647182335,76267.64103515627,138267.7059921801,19117958520.33996,1011,9,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,359,50,39,16.126025676727295,0.0029048919677734375,0.39670023275611743,77536.32984375002,138037.91770690551,19054466724.85842,1011,9,9,success,cross_county_small,Cross-county generalization test with small counties,4.0,0.1392562987042604,900.0,0.8466258166851549,0.6378806187768278,3.0,0.034721529980355596,3.049719576286194,0.8295948637617981,16.016528367996216
tabpfn,392,17,21,0.25362300872802734,0.36806678771972656,0.2530847715871162,58280.81663602937,87363.7659544034,7632427601.735775,1041,0,9,success,cross_county_small,Cross-county generalization test with small counties,,,,,,,,,,
xgboost,392,17,21,15.385002136230469,0.0019593238830566406,0.5602085854843579,52090.80422794114,67037.69343814168,4494052341.506264,1041,0,9,success,cross_county_small,Cross-county generalization test with small counties,3.0,0.011605838090136896,500.0,0.8507238517471758,0.9780902779617829,9.0,0.003011945847767389,1.4790748230181465,3.531842829794105e-05,15.289628505706787
