model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,500,42306,82,0.34535670280456543,41.80665135383606,0.041210494696462874,194200.5875862023,1836843.30129674,3373993313518.707,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.34134411811828613,40.5495662689209,0.0462103625657988,187896.90947021404,1832047.682366151,3356398710463.1846,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.3356308937072754,41.13498854637146,0.03348434624092511,194007.17336969046,1844229.30652568,3401181735048.1904,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,500,42306,82,0.36281609535217285,42.188448905944824,0.02478047952347673,190247.3077828795,1852514.7126118105,3431810760443.2188,9,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.43219590187072754,84.67040467262268,0.04298163395705923,185825.43587973632,1835145.9479736956,3367760650364.274,0,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.43350911140441895,85.65171265602112,0.04965841652261338,185229.57300789192,1828733.1575925157,3344264961678.2925,1,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.4343562126159668,84.34290766716003,0.054047548435806725,184862.35550162062,1824505.2882251434,3328819546761.514,2,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.4325432777404785,84.70465970039368,0.03252975614887399,188937.72168028768,1845139.8187046263,3404540950569.341,3,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.441739559173584,84.98452568054199,0.09248878148942152,182195.381826381,1787049.0549092076,3193544324651.892,4,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.44335007667541504,86.07100820541382,0.031464244063516555,187115.1865822076,1846155.6007265565,3408290502094.0327,5,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.433290958404541,85.78330945968628,0.03580100348968873,191194.2085224318,1842017.7487395746,3393029386671.6104,6,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.4346902370452881,83.52689743041992,0.04505392585751611,183891.28244663877,1833157.9929108627,3360468226972.9824,7,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
tabpfn,1000,42306,82,0.42586398124694824,84.80104446411133,0.037464298697139076,187424.87776187184,1840428.273040658,3387176228207.419,8,success,cook_county_no_preprocessing,Cook County learning curves with no preprocessing,,,,,,,,,,
