model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mape,mse,test_set_version,train_set_version,n_test_counties,n_train_source_test_history,n_train_source_external,status,experiment_name,experiment_description,result_type,test_fips,size_bucket,county_test_size,county_train_pool_size,county_train_used
xgboost,,,,,,0.5440172049241732,31516.12655106708,45606.07957895614,36.819658432089675,2079914494.56208,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48087.0,tiny,41.0,40.0,40.0
xgboost,,,,,,0.7123074350030068,21283.815487132368,25091.01078097747,42.32975026005567,629558822.0111277,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,1075.0,tiny,17.0,17.0,17.0
xgboost,,,,,,0.0069817113472605,102376.77623980978,258734.5143838437,53.22145570802051,66943548933.44342,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,13101.0,tiny,46.0,45.0,45.0
xgboost,,,,,,-0.0036219738819451,46680.050951086974,67736.12022227191,62.15177278187567,4588181982.766075,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28129.0,tiny,23.0,23.0,23.0
xgboost,,,,,,0.3861806824898903,48748.40907703488,77012.96093649535,58.373139680732535,5930996152.206159,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48191.0,tiny,43.0,42.0,42.0
xgboost,,,,,,,222718.56249999977,222718.56249999977,45.74450577663669,49603558082.0663,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,2060.0,tiny,1.0,1.0,1.0
xgboost,,,,,,,50492.25781250006,50492.25781250006,72.13179687500015,2549468099.003973,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,42057.0,tiny,1.0,1.0,1.0
xgboost,,,,,,0.3153843166817767,58318.14572408534,97694.05464711654,87.9021357450829,9544128313.393791,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48413.0,tiny,41.0,40.0,40.0
xgboost,,,,,,0.00224033015199,86773.34787499998,117625.92406522896,69.36820429857492,13835858012.199009,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48235.0,tiny,25.0,24.0,24.0
xgboost,,,,,,0.3779792319413336,83626.84514508925,141219.9738392795,82.49183912469206,19943081011.166782,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,30075.0,tiny,14.0,14.0,14.0
xgboost,,,,,,0.7281357489274478,64067.61549107145,92718.19844943572,47.217959364023784,8596664323.708946,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,30045.0,tiny,35.0,35.0,35.0
xgboost,,,,,,0.6389597773122595,61280.48379310341,73626.57077548373,32.9927142929982,5420871924.157315,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,49001.0,tiny,29.0,28.0,28.0
xgboost,,,,,,-0.2084967868013201,47154.2625,64947.78530740269,183.5394538584889,4218214816.336473,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,29085.0,tiny,15.0,15.0,15.0
xgboost,,,,,,-0.2158381359310155,71474.46572265628,86048.68852922061,86.48981793070203,7404376797.598823,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48045.0,tiny,16.0,15.0,15.0
xgboost,,,,,,0.5468899559113267,29323.822490985574,46745.58084548427,55.78316808579367,2185149328.581706,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31103.0,tiny,26.0,26.0,26.0
xgboost,,,,,,0.713702159466429,35151.83487215909,45006.33326760696,98.28861632946489,2025570034.194905,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,54089.0,tiny,44.0,43.0,43.0
xgboost,,,,,,-1.358812461654857,42729.40500000001,54328.365917537616,28.979067173518214,2951571343.2698627,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48033.0,tiny,2.0,1.0,1.0
xgboost,,,,,,0.3995833968080331,22421.59741210937,30290.834375594437,58.82225875129416,917534647.1696936,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,54101.0,tiny,24.0,24.0,24.0
xgboost,,,,,,,140469.171875,140469.171875,877.9323242187498,19731588247.24829,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28157.0,tiny,1.0,1.0,1.0
xgboost,,,,,,0.013683250781417,170949.4735192588,420437.57446997386,42.726470103096105,176767754026.1948,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31015.0,tiny,43.0,43.0,43.0
xgboost,,,,,,0.6765636934005015,23730.7424926758,32008.000658560508,38.70871345747617,1024512106.1584098,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,29199.0,tiny,32.0,31.0,31.0
xgboost,,,,,,0.6027110428639386,39820.866953125,57494.82651787639,34.44926456791595,3305655076.320702,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48393.0,tiny,12.0,11.0,11.0
xgboost,,,,,,0.313154756144148,54027.06523437501,57824.49776979742,184.51803916162484,3343672542.329306,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31009.0,tiny,10.0,10.0,10.0
xgboost,,,,,,0.1113844512286237,34146.08519345239,37008.15652989192,107.86471933390888,1369603649.7409816,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,40025.0,tiny,21.0,21.0,21.0
xgboost,,,,,,-0.4780967715026438,44616.23860677085,56926.911760385774,115.7693090754979,3240673282.5747485,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28065.0,tiny,12.0,11.0,11.0
xgboost,,,,,,,104872.09375000006,104872.09375000006,131.09011718750017,10998156047.5088,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,51137.0,tiny,1.0,1.0,1.0
xgboost,,,,,,0.4219425956362436,35178.59330610795,43552.012306407145,71.74277897672891,1896777775.93744,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31085.0,tiny,22.0,22.0,22.0
xgboost,,,,,,0.7552346695692385,44783.43632812499,63670.56204541716,118.2282786089294,4053940471.179316,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,31117.0,tiny,5.0,5.0,5.0
xgboost,,,,,,0.2696521532150248,91040.28756648937,129545.55830542398,61.47351576339476,16782051676.664003,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,48319.0,tiny,47.0,46.0,46.0
xgboost,,,,,,-0.2659277432439786,42035.16308593752,61027.71925646224,117.28359768818024,3724382517.645572,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28125.0,tiny,40.0,40.0,40.0
xgboost,,,,,,0.378960055778236,43266.02734374999,48464.36456752182,152.28996740825468,2348794632.933665,unknown,unknown,,,,,xgboost_large_scale_train_v6,XGBoost-only training on test_v1_train_v6 (5M samples),per_county,28041.0,tiny,6.0,6.0,6.0
