model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse,seed,status,experiment_name,experiment_description,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_n_estimators,hyperparam_subsample,hyperparam_colsample_bytree,hyperparam_min_child_weight,hyperparam_reg_alpha,hyperparam_reg_lambda,hyperparam_gamma,tune_time
tabpfn,200,39011,69,0.30721139907836914,11.94088101387024,0.40887148572390875,152150.22592766304,251721.2009436674,63363563004.52219,0,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.30272841453552246,12.074638843536377,0.4859106042368083,142787.34170830823,234745.9798302511,55105675046.46466,1,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.300203800201416,11.774667024612427,0.39364529865772147,153872.52216382077,254942.48530245648,64995670812.19324,2,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.3082311153411865,16.34512448310852,0.34662215920830397,158936.0902053267,264643.3840277548,70036120709.66168,3,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.31662845611572266,12.256967306137085,0.42416104510715447,157371.6954454753,248444.48527758563,61724662264.84447,4,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.3006727695465088,17.67512559890747,0.32632093663650086,162478.49370149605,268723.3258295453,72212225844.892,5,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.301105260848999,11.903244018554688,0.37462069416685717,158040.42272812477,258911.05457431605,67034934180.78447,6,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.2984790802001953,11.842596769332886,0.3916613994831598,152557.19757308034,255359.21098441683,65208326634.583916,7,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.32781219482421875,11.777602195739746,0.46961312841244374,149294.87106501212,238437.86443818038,56852615197.84009,8,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
tabpfn,200,39011,69,0.299119234085083,16.94444751739502,0.4798708690820057,147031.6859767918,236120.8998403538,55753079341.4184,9,success,cook_county_with_preprocessing,Cook County learning curves with preprocessing,,,,,,,,,,
