fips,fold,quantile,coverage,error
28163,0,0.1,1.0,0.9
28163,0,0.2,1.0,0.8
28163,0,0.3,1.0,0.7
28163,0,0.4,1.0,0.6
28163,0,0.5,1.0,0.5
28163,0,0.6,1.0,0.4
28163,0,0.7,1.0,0.30000000000000004
28163,0,0.8,1.0,0.19999999999999996
28163,0,0.9,1.0,0.09999999999999998
28163,1,0.1,0.0,0.1
28163,1,0.2,0.25,0.04999999999999999
28163,1,0.3,0.25,0.04999999999999999
28163,1,0.4,0.25,0.15000000000000002
28163,1,0.5,0.25,0.25
28163,1,0.6,0.25,0.35
28163,1,0.7,0.5,0.19999999999999996
28163,1,0.8,0.5,0.30000000000000004
28163,1,0.9,0.5,0.4
28163,2,0.1,0.0,0.1
28163,2,0.2,0.0,0.2
28163,2,0.3,0.0,0.3
28163,2,0.4,0.0,0.4
28163,2,0.5,0.0,0.5
28163,2,0.6,0.3333333333333333,0.26666666666666666
28163,2,0.7,0.3333333333333333,0.36666666666666664
28163,2,0.8,0.3333333333333333,0.46666666666666673
28163,2,0.9,0.6666666666666666,0.2333333333333334
28163,3,0.1,0.0,0.1
28163,3,0.2,0.0,0.2
28163,3,0.3,0.0,0.3
28163,3,0.4,0.6666666666666666,0.2666666666666666
28163,3,0.5,0.6666666666666666,0.16666666666666663
28163,3,0.6,0.6666666666666666,0.06666666666666665
28163,3,0.7,1.0,0.30000000000000004
28163,3,0.8,1.0,0.19999999999999996
28163,3,0.9,1.0,0.09999999999999998
28163,4,0.1,0.0,0.1
28163,4,0.2,0.0,0.2
28163,4,0.3,0.0,0.3
28163,4,0.4,0.3333333333333333,0.06666666666666671
28163,4,0.5,0.6666666666666666,0.16666666666666663
28163,4,0.6,0.6666666666666666,0.06666666666666665
28163,4,0.7,0.6666666666666666,0.033333333333333326
28163,4,0.8,0.6666666666666666,0.13333333333333341
28163,4,0.9,0.6666666666666666,0.2333333333333334
28163,0,0.1,0.0,0.1
28163,0,0.2,0.25,0.04999999999999999
28163,0,0.3,0.25,0.04999999999999999
28163,0,0.4,0.25,0.15000000000000002
28163,0,0.5,0.5,0.0
28163,0,0.6,0.5,0.09999999999999998
28163,0,0.7,0.5,0.19999999999999996
28163,0,0.8,0.5,0.30000000000000004
28163,0,0.9,0.75,0.15000000000000002
28163,1,0.1,0.0,0.1
28163,1,0.2,0.0,0.2
28163,1,0.3,0.0,0.3
28163,1,0.4,0.25,0.15000000000000002
28163,1,0.5,0.25,0.25
28163,1,0.6,0.25,0.35
28163,1,0.7,0.25,0.44999999999999996
28163,1,0.8,0.5,0.30000000000000004
28163,1,0.9,0.5,0.4
28163,2,0.1,0.0,0.1
28163,2,0.2,0.0,0.2
28163,2,0.3,0.6666666666666666,0.36666666666666664
28163,2,0.4,0.6666666666666666,0.2666666666666666
28163,2,0.5,0.6666666666666666,0.16666666666666663
28163,2,0.6,0.6666666666666666,0.06666666666666665
28163,2,0.7,1.0,0.30000000000000004
28163,2,0.8,1.0,0.19999999999999996
28163,2,0.9,1.0,0.09999999999999998
28163,3,0.1,0.6666666666666666,0.5666666666666667
28163,3,0.2,0.6666666666666666,0.4666666666666666
28163,3,0.3,0.6666666666666666,0.36666666666666664
28163,3,0.4,1.0,0.6
28163,3,0.5,1.0,0.5
28163,3,0.6,1.0,0.4
28163,3,0.7,1.0,0.30000000000000004
28163,3,0.8,1.0,0.19999999999999996
28163,3,0.9,1.0,0.09999999999999998
28163,4,0.1,0.3333333333333333,0.2333333333333333
28163,4,0.2,0.3333333333333333,0.1333333333333333
28163,4,0.3,0.3333333333333333,0.033333333333333326
28163,4,0.4,0.3333333333333333,0.06666666666666671
28163,4,0.5,0.3333333333333333,0.16666666666666669
28163,4,0.6,0.6666666666666666,0.06666666666666665
