experiment_name,experiment_description,fips,bin_name,repetition,fold,model,train_size,test_size,n_features,fit_time,pred_time,r2,mae,rmse,mse
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,3,4,tabpfn,64,16,67,0.4543154239654541,0.2149646282196045,0.478843005076675,25419.99951171875,35330.836049239886,1248267975.9382687
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,4,0,tabpfn,64,16,67,0.4430718421936035,0.21407294273376465,0.2007775196047309,31985.761474609375,55892.82332900369,3124007699.6872187
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,4,1,tabpfn,64,16,67,0.43597412109375,0.21557068824768066,0.2151396959850289,39391.73583984375,92002.72909082379,8464502160.159513
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,4,2,tabpfn,64,16,67,0.44790196418762207,0.21718573570251465,-1.9322794163409904,29280.83740234375,63120.35249069162,3984178898.54916
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,4,3,tabpfn,64,16,67,0.45601582527160645,0.2134089469909668,0.02052434322556962,30258.038818359375,51918.229776579974,2695502583.1337557
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,4,4,tabpfn,64,16,67,0.46984338760375977,0.21476006507873535,-2.854744965230766,41453.635986328125,55272.47772248053,3055046793.5821066
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,5,0,tabpfn,64,16,67,0.4535517692565918,0.21276116371154785,0.3054339746896467,15499.211303710938,18862.31366519253,355786876.80410886
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,5,1,tabpfn,64,16,67,0.45231032371520996,0.2175767421722412,0.034634798513216825,41695.549560546875,66391.48051742911,4407828685.296168
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,5,2,tabpfn,64,16,67,0.48692917823791504,0.21476268768310547,-0.18446026885084232,39978.644287109375,61896.63475111181,3831193393.512542
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,5,3,tabpfn,64,16,67,0.45337891578674316,0.213423490524292,0.28179885642398483,43507.99560546875,85531.66813990816,7315666254.79538
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,5,4,tabpfn,64,16,67,0.44947171211242676,0.21388912200927734,0.4266159054985039,17873.918701171875,31446.727005131746,988896639.3352823
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,6,0,tabpfn,64,16,67,0.4552900791168213,0.21600103378295898,-0.6273449988666164,31611.791259765625,47331.66030782819,2240286067.495639
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,6,1,tabpfn,64,16,67,0.4460413455963135,0.2153162956237793,0.4825019104981205,24941.75830078125,36395.3344718282,1324620371.316246
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,6,2,tabpfn,64,16,67,0.44321632385253906,0.21382355690002441,0.0032811865408863827,53388.328125,109460.13713231213,11981521621.024576
calibration_no_preprocessing,"Calibration analysis with raw features, no transformations",28125,small,6,3,tabpfn,64,16,67,0.46905970573425293,0.2176065444946289,-2.4118753535891586,42230.011474609375,79793.65011467114,6367026598.622557
