seed,train_size,test_type,n_train,n_test,n_train_cbgs,n_test_cbgs,mae,mse,r2,mean_ratio,median_ratio,std_ratio,train_time,pred_time,status
100,700,full,700,39011,0,0,138904.79071407745,53017276097.03725,0.505393602187897,1.1138983091313883,0.9257226666666662,0.7498201180959361,0.3783893585205078,21.140655994415283,success
100,800,full,800,39011,0,0,139673.0609745889,52269082802.76559,0.512373613561351,1.0490176305532584,0.8774504605263159,0.7020478617587685,0.39272356033325195,22.63292384147644,success
100,900,full,900,39011,0,0,138198.62982916678,50362242998.61859,0.5301628180653257,1.0697788542967581,0.8900125000000003,0.7396182482337674,0.4235260486602783,25.71696972846985,success
100,1000,full,1000,39011,0,0,136280.01050725277,48626706570.53538,0.5463539067850627,1.0809293738918302,0.9027841947115379,0.7413676678303902,0.44374537467956543,26.684930562973022,success
100,2000,full,2000,39011,0,0,128449.61910102279,42714588614.86409,0.6015089728458451,1.103715233013333,0.9224955818965521,0.738693765669687,0.6048974990844727,28.006490468978882,success
100,3000,full,3000,39011,0,0,126539.26675308727,41621888502.660866,0.6117029417965797,1.0910148783637192,0.9135604166666669,0.7198353798778104,0.80733323097229,42.050966024398804,success
100,4000,full,4000,39011,0,0,126621.3942253467,41584281909.64026,0.612053779539995,1.1183905697424141,0.928349193548388,0.7621552136982629,1.042466402053833,57.62486457824707,success
100,5000,full,5000,39011,0,0,126494.94815725052,42212502404.01125,0.6061930130384519,1.133832081880283,0.9391856317934788,0.7851867867409321,1.2751917839050293,76.43649792671204,success
100,6000,full,6000,39011,0,0,124178.3531948521,40271365751.08267,0.6243021781681124,1.136301414449996,0.9507718750000005,0.7520514300064672,1.474867582321167,95.38616871833801,success
100,7000,full,7000,39011,0,0,123166.89619294077,39619390214.493324,0.6303845591456612,1.1260764097993394,0.9453423387096774,0.730696539157744,1.7070074081420898,119.8955626487732,success
100,8000,full,8000,39011,0,0,122859.86239458101,39394047753.872444,0.6324868139374351,1.1315647303504486,0.9497455492424239,0.7398946401089179,1.9598777294158936,146.1046223640442,success
100,9000,full,9000,39011,0,0,123872.40939254312,40285578315.47815,0.6241695869488566,1.1123817438085422,0.9365654861111105,0.7262533849586775,2.1331496238708496,172.9004237651825,success
100,10000,full,10000,39011,0,0,123738.4786909061,40211772280.01319,0.6248581349095497,1.1178589771000729,0.9396526785714281,0.7326623944333602,2.382110595703125,202.64308619499207,success
200,25,full,25,39011,0,0,154722.5441582182,62934663210.6624,0.4128727584727212,1.0097100251073778,0.8297679687500004,0.7064227457284544,0.35749197006225586,10.848519086837769,success
200,50,full,50,39011,0,0,179403.35613833278,76089734611.5879,0.2901470555025456,1.4601639715715187,1.2114228125000004,1.0133571314172576,0.37077927589416504,11.608087062835693,success
200,75,full,75,39011,0,0,153353.3429950046,56624765543.24242,0.4717387732059827,1.1343597930223375,0.9432383324235815,0.7825198340836614,0.3870360851287842,10.861933708190918,success
200,100,full,100,39011,0,0,153393.08830602266,54980403679.50635,0.48707928026322,1.1493902969316232,0.9478869886363634,0.8439124411909001,0.5321438312530518,11.262864589691162,success
200,200,full,200,39011,0,0,151416.58886515984,55860934002.78856,0.47886467620536866,1.0104726478226562,0.8431388333333328,0.7068926042701044,0.32497406005859375,14.878719568252563,success
200,300,full,300,39011,0,0,144259.53319336212,52571390912.47356,0.509553334282982,1.0376806878793419,0.8665173295454551,0.7128634573635785,0.33215785026550293,16.23494029045105,success
200,400,full,400,39011,0,0,139391.30341241893,49340142562.28354,0.5396981516817223,1.092000674586693,0.9173152412280702,0.7366601862465053,0.3550400733947754,17.892903089523315,success
200,500,full,500,39011,0,0,135829.95111234652,46601400304.4689,0.5652483033001148,1.1732761404175218,0.9708342948717952,0.8236765576041675,0.36046886444091797,19.299704551696777,success
200,600,full,600,39011,0,0,136776.5124662355,49849967828.90123,0.5349419126366639,1.2668523572986354,1.0371579769736834,0.9564929453376463,0.378720760345459,21.028064966201782,success
200,700,full,700,39011,0,0,135052.83982102002,49880690515.29954,0.5346552959266171,1.2193283492525293,0.9980151323198193,0.9264502329017476,0.39553046226501465,22.422711849212646,success
200,800,full,800,39011,0,0,138214.70845682948,50996184645.11607,0.5242486780475832,1.1717049222547358,0.9623924769850395,0.8729802882805521,0.4399240016937256,56.214123249053955,success
200,900,full,900,39011,0,0,137701.7813663534,49451478834.13371,0.5386594783205173,1.128031375218266,0.9342838293650796,0.7789980536041127,0.47783565521240234,64.83875489234924,success
200,1000,full,1000,39011,0,0,136313.77070409627,48854036446.86641,0.5442331110836509,1.1320853072030082,0.9387993692660547,0.777021117598182,0.8311526775360107,75.0762312412262,success
200,2000,full,2000,39011,0,0,130306.98231147946,45103441775.340485,0.5792229909247311,1.1009104464823318,0.9223025568181824,0.7194082953878113,0.6399939060211182,28.880651473999023,success
200,3000,full,3000,39011,0,0,126196.13439038028,42545394631.86751,0.6030874097747483,1.1344656054418754,0.9518233653846158,0.7351569219920063,0.8298201560974121,41.86003613471985,success
200,4000,full,4000,39011,0,0,125598.65036884628,41896318845.64286,0.6091427385310586,1.1244219244391087,0.9392716875000007,0.7361992605459562,1.0762746334075928,57.64736771583557,success
200,5000,full,5000,39011,0,0,124210.40904228135,40784416036.88375,0.6195158524185191,1.1363473812716294,0.9490496822033896,0.7498150891348873,1.2657222747802734,76.47307801246643,success
200,6000,full,6000,39011,0,0,123069.93871600318,39894573657.5065,0.6278173300930564,1.149567075029214,0.9587182744565209,0.7573578583651641,1.4896843433380127,96.32993626594543,success
200,7000,full,7000,39011,0,0,123456.59759346723,40233978414.35719,0.6246509704355183,1.1303492128497343,0.9444328977272726,0.7389660444778536,1.6968908309936523,119.71074151992798,success
200,8000,full,8000,39011,0,0,122592.48921578209,39617160822.01874,0.6304053574940928,1.1327939980331498,0.9486758620689659,0.7370038392021463,1.9724676609039307,145.51638340950012,success
200,9000,full,9000,39011,0,0,122636.83092549216,39498798664.129684,0.6315095764366809,1.1243428802265258,0.9413809966216213,0.7345863728686234,2.122619390487671,172.76019167900085,success
200,10000,full,10000,39011,0,0,122487.20975273801,39430508077.12528,0.6321466699226023,1.112619197374202,0.9373755208333336,0.7171805277769181,2.370631217956543,203.2245934009552,success
300,25,full,25,39011,0,0,192842.2123440544,97781194523.26585,0.08778405913577803,1.0981915828212738,0.8570457792207798,1.0098196837880182,0.3625655174255371,10.381990194320679,success
300,50,full,50,39011,0,0,162562.7945257027,65346074534.59696,0.3903763279433293,1.1666928219113095,0.9918062500000006,0.8646791957592512,0.3778378963470459,10.69716739654541,success
300,75,full,75,39011,0,0,162253.9055668994,66476184106.487724,0.37983336033664183,1.0939595834599232,0.9214387907608689,0.8073072726923586,0.3846011161804199,10.872416257858276,success
300,100,full,100,39011,0,0,149758.21476514637,58928898056.77306,0.4502431633501828,1.0730049132193848,0.9008562977099234,0.7634595074659842,0.42298388481140137,10.946140050888062,success
