fips,filename,row_count,file_size_bytes,file_size_mb
13005,fips_13005.csv,503,439409,0.42
13007,fips_13007.csv,93,82678,0.08
13009,fips_13009.csv,2593,2209268,2.11
13011,fips_13011.csv,1940,1645777,1.57
13013,fips_13013.csv,14028,12186995,11.62
13015,fips_13015.csv,8696,7447757,7.1
13017,fips_13017.csv,909,797385,0.76
13019,fips_13019.csv,1329,1146252,1.09
13021,fips_13021.csv,15112,12952221,12.35
13023,fips_13023.csv,577,502850,0.48
13025,fips_13025.csv,753,653507,0.62
13027,fips_13027.csv,659,567013,0.54
13029,fips_13029.csv,6967,5557483,5.3
13031,fips_13031.csv,3842,3397934,3.24
13033,fips_13033.csv,1265,1071919,1.02
13035,fips_13035.csv,1923,1636855,1.56
13037,fips_13037.csv,142,127644,0.12
13039,fips_13039.csv,6314,5440758,5.19
13043,fips_13043.csv,673,593465,0.57
13045,fips_13045.csv,10760,9513020,9.07
13047,fips_13047.csv,6050,5180613,4.94
13049,fips_13049.csv,586,492443,0.47
13051,fips_13051.csv,25347,21873557,20.86
13053,fips_13053.csv,149,131743,0.13
13055,fips_13055.csv,1067,929999,0.89
13057,fips_13057.csv,24887,20106604,19.18
13059,fips_13059.csv,9639,8317263,7.93
13061,fips_13061.csv,211,186291,0.18
13063,fips_13063.csv,24024,20854230,19.89
13065,fips_13065.csv,271,241119,0.23
13067,fips_13067.csv,55568,48796862,46.54
13069,fips_13069.csv,2090,1773341,1.69
13071,fips_13071.csv,1889,1618070,1.54
13073,fips_13073.csv,20246,16577459,15.81
13075,fips_13075.csv,1100,926289,0.88
13077,fips_13077.csv,16252,14123740,13.47
13079,fips_13079.csv,705,609754,0.58
13081,fips_13081.csv,1361,1179643,1.12
13083,fips_13083.csv,1305,1106657,1.06
13085,fips_13085.csv,2842,2383941,2.27
13087,fips_13087.csv,2011,1707639,1.63
13089,fips_13089.csv,63465,55633229,53.06
13091,fips_13091.csv,699,607430,0.58
13093,fips_13093.csv,414,366805,0.35
13095,fips_13095.csv,5922,5164716,4.93
13097,fips_13097.csv,14868,13035753,12.43
13099,fips_13099.csv,519,453541,0.43
13101,fips_13101.csv,92,75467,0.07
13103,fips_13103.csv,7240,6138155,5.85
13105,fips_13105.csv,1257,1105584,1.05
